packetDelay:vector DNP3NetworkTopology.distAuto (#0 - HeavyTraffic-0-20260310-05:38:12-33244),
1.107582692308,0.107582692307999993
1.141457692308,0.141457692307999982
1.175332692308,0.17533269230799997
1.209207692308,0.209207692307999958
1.243082692308,0.243082692308000002
1.276957692308,0.276957692307999935
1.310832692308,0.310832692307999923
1.344707692308,0.344707692308000022
1.378582692308,0.378582692308000011
1.412457692308,0.412457692308
1.446332692308,0.446332692307999988
1.480207692308,0.480207692307999975
1.514082692308,0.514082692307999964
1.547957692308,0.547957692307999841
1.581832692308,0.581832692307999941
1.615707692308,0.61570769230800004
1.649582692308,0.649582692307999917
1.683457692308,0.683457692308000018
1.717332692308,0.717332692307999893
1.751207692308,0.751207692307999993
1.785082692308,0.78508269230799987
1.818957692308,0.81895769230799997
1.852832692308,0.852832692307999848
1.886707692308,0.886707692307999945
1.920582692308,0.920582692308000045
1.954457692308,0.954457692307999923
1.988332692308,0.988332692308000021
2.022207692308,1.022207692307999679
2.056082692308,1.056082692307999778
2.089957692308,1.089957692307999876
2.123832692308,1.123832692307999976
2.157707692308,1.157707692308000075
2.191582692308,1.191582692307999728
2.225457692308,1.22545769230799983
2.259332692308,1.259332692307999931
2.293207692308,1.293207692308000028
2.327082692308,1.327082692307999682
2.360957692308,1.360957692307999782
2.394832692308,1.39483269230799988
2.428707692308,1.428707692307999981
2.462582692308,1.462582692308000082
2.496457692308,1.496457692307999737
2.530332692308,1.530332692307999835
2.564207692308,1.564207692307999937
2.598082692308,1.598082692308000032
2.631957692308,1.631957692307999691
2.665832692308,1.665832692307999788
2.699707692308,1.69970769230799989
2.733582692308,1.733582692307999987
2.767457692308,1.767457692308000087
2.899207692308,0.899207692307999903
2.933082692308,0.933082692308000001
2.966957692308,0.966957692307999878
3.107582692308,0.107582692307999993
3.141457692308,0.141457692307999982
3.175332692308,0.17533269230799997
3.209207692308,0.209207692307999958
3.243082692308,0.243082692308000002
3.276957692308,0.276957692307999935
3.310832692308,0.310832692307999923
3.344707692308,0.344707692308000022
3.378582692308,0.378582692308000011
3.412457692308,0.412457692308
3.446332692308,0.446332692307999988
3.480207692308,0.480207692307999975
3.514082692308,0.514082692307999964
3.547957692308,0.547957692307999841
3.581832692308,0.581832692307999941
3.615707692308,0.61570769230800004
3.649582692308,0.649582692307999917
