packetDelay:vector DNP3NetworkTopology.distAuto (#0 - LightTraffic-0-20260310-06:29:58-35672),
10.089025,0.089024999999999992
10.11665,0.116650000000000003
10.144275,0.144274999999999985
10.1719,0.171899999999999996
10.199525,0.199525000000000007
10.22715,0.227149999999999962
10.254775,0.254774999999999972
10.2824,0.282399999999999982
10.310025,0.310024999999999994
10.33765,0.337650000000000004
10.365275,0.365275000000000014
10.3929,0.392900000000000025
10.420525,0.420524999999999925
10.44815,0.448149999999999935
10.475775,0.475774999999999945
10.5034,0.503399999999999845
10.531025,0.531024999999999856
10.55865,0.558649999999999867
10.586275,0.586274999999999877
10.6139,0.613899999999999887
10.641525,0.641524999999999898
10.66915,0.669149999999999908
10.696775,0.696774999999999918
10.7244,0.724399999999999929
10.752025,0.752024999999999939
10.77965,0.779649999999999948
10.807275,0.80727499999999996
10.8349,0.834899999999999972
10.862525,0.862524999999999984
10.89015,0.890149999999999991
10.917775,0.917775000000000003
10.9454,0.945400000000000013
10.973025,0.973025000000000025
11.00065,1.000649999999999813
11.028275,1.028274999999999823
11.0559,1.055899999999999834
11.083525,1.083524999999999844
11.11115,1.111149999999999856
11.138775,1.138774999999999865
11.1664,1.166399999999999876
11.194025,1.194024999999999887
11.22165,1.221649999999999897
11.249275,1.249274999999999903
11.2769,1.276899999999999918
11.304525,1.304524999999999927
11.33215,1.332149999999999938
11.359775,1.359774999999999951
11.3874,1.387399999999999962
11.415025,1.415024999999999975
11.44265,1.442649999999999981
20.089025,0.089024999999999992
20.11665,0.116650000000000003
20.144275,0.144274999999999985
20.1719,0.171899999999999996
20.199525,0.199525000000000007
20.22715,0.227149999999999962
20.254775,0.254774999999999972
20.2824,0.282399999999999982
20.310025,0.310024999999999994
20.33765,0.337650000000000004
20.365275,0.365275000000000014
20.3929,0.392900000000000025
20.420525,0.420524999999999925
20.44815,0.448149999999999935
20.475775,0.475774999999999945
20.5034,0.503399999999999845
20.531025,0.531024999999999856
20.55865,0.558649999999999867
20.586275,0.586274999999999877
20.6139,0.613899999999999887
20.641525,0.641524999999999898
20.66915,0.669149999999999908
20.696775,0.696774999999999918
20.7244,0.724399999999999929
20.752025,0.752024999999999939
20.77965,0.779649999999999948
20.807275,0.80727499999999996
20.8349,0.834899999999999972
20.862525,0.862524999999999984
20.89015,0.890149999999999991
20.917775,0.917775000000000003
20.9454,0.945400000000000013
20.973025,0.973025000000000025
21.00065,1.000649999999999813
21.028275,1.028274999999999823
21.0559,1.055899999999999834
21.083525,1.083524999999999844
21.11115,1.111149999999999856
21.138775,1.138774999999999865
21.1664,1.166399999999999876
21.194025,1.194024999999999887
21.22165,1.221649999999999897
21.249275,1.249274999999999903
21.2769,1.276899999999999918
21.304525,1.304524999999999927
21.33215,1.332149999999999938
21.359775,1.359774999999999951
21.3874,1.387399999999999962
21.415025,1.415024999999999975
21.44265,1.442649999999999981
30.089025,0.089024999999999992
30.11665,0.116650000000000003
30.144275,0.144274999999999985
30.1719,0.171899999999999996
30.199525,0.199525000000000007
30.22715,0.227149999999999962
30.254775,0.254774999999999972
30.2824,0.282399999999999982
30.310025,0.310024999999999994
30.33765,0.337650000000000004
30.365275,0.365275000000000014
30.3929,0.392900000000000025
30.420525,0.420524999999999925
30.44815,0.448149999999999935
30.475775,0.475774999999999945
30.5034,0.503399999999999845
30.531025,0.531024999999999856
30.55865,0.558649999999999867
30.586275,0.586274999999999877
30.6139,0.613899999999999887
30.641525,0.641524999999999898
30.66915,0.669149999999999908
30.696775,0.696774999999999918
30.7244,0.724399999999999929
30.752025,0.752024999999999939
30.77965,0.779649999999999948
30.807275,0.80727499999999996
30.8349,0.834899999999999972
30.862525,0.862524999999999984
30.89015,0.890149999999999991
30.917775,0.917775000000000003
30.9454,0.945400000000000013
30.973025,0.973025000000000025
31.00065,1.000649999999999813
31.028275,1.028274999999999823
31.0559,1.055899999999999834
31.083525,1.083524999999999844
31.11115,1.111149999999999856
31.138775,1.138774999999999865
31.1664,1.166399999999999876
31.194025,1.194024999999999887
31.22165,1.221649999999999897
31.249275,1.249274999999999903
31.2769,1.276899999999999918
31.304525,1.304524999999999927
31.33215,1.332149999999999938
31.359775,1.359774999999999951
31.3874,1.387399999999999962
31.415025,1.415024999999999975
31.44265,1.442649999999999981
40.089025,0.089024999999999992
40.11665,0.116650000000000003
40.144275,0.144274999999999985
40.1719,0.171899999999999996
40.199525,0.199525000000000007
40.22715,0.227149999999999962
40.254775,0.254774999999999972
40.2824,0.282399999999999982
40.310025,0.310024999999999994
40.33765,0.337650000000000004
40.365275,0.365275000000000014
40.3929,0.392900000000000025
40.420525,0.420524999999999925
40.44815,0.448149999999999935
40.475775,0.475774999999999945
40.5034,0.503399999999999845
40.531025,0.531024999999999856
40.55865,0.558649999999999867
40.586275,0.586274999999999877
40.6139,0.613899999999999887
40.641525,0.641524999999999898
40.66915,0.669149999999999908
40.696775,0.696774999999999918
40.7244,0.724399999999999929
40.752025,0.752024999999999939
40.77965,0.779649999999999948
40.807275,0.80727499999999996
40.8349,0.834899999999999972
40.862525,0.862524999999999984
40.89015,0.890149999999999991
40.917775,0.917775000000000003
40.9454,0.945400000000000013
40.973025,0.973025000000000025
41.00065,1.000649999999999813
41.028275,1.028274999999999823
41.0559,1.055899999999999834
41.083525,1.083524999999999844
41.11115,1.111149999999999856
41.138775,1.138774999999999865
41.1664,1.166399999999999876
41.194025,1.194024999999999887
41.22165,1.221649999999999897
41.249275,1.249274999999999903
41.2769,1.276899999999999918
41.304525,1.304524999999999927
41.33215,1.332149999999999938
41.359775,1.359774999999999951
41.3874,1.387399999999999962
41.415025,1.415024999999999975
41.44265,1.442649999999999981
50.089025,0.089024999999999992
50.11665,0.116650000000000003
50.144275,0.144274999999999985
50.1719,0.171899999999999996
50.199525,0.199525000000000007
50.22715,0.227149999999999962
50.254775,0.254774999999999972
50.2824,0.282399999999999982
50.310025,0.310024999999999994
50.33765,0.337650000000000004
50.365275,0.365275000000000014
50.3929,0.392900000000000025
50.420525,0.420524999999999925
50.44815,0.448149999999999935
50.475775,0.475774999999999945
50.5034,0.503399999999999845
50.531025,0.531024999999999856
50.55865,0.558649999999999867
50.586275,0.586274999999999877
50.6139,0.613899999999999887
50.641525,0.641524999999999898
50.66915,0.669149999999999908
50.696775,0.696774999999999918
50.7244,0.724399999999999929
50.752025,0.752024999999999939
50.77965,0.779649999999999948
50.807275,0.80727499999999996
50.8349,0.834899999999999972
50.862525,0.862524999999999984
50.89015,0.890149999999999991
50.917775,0.917775000000000003
50.9454,0.945400000000000013
50.973025,0.973025000000000025
51.00065,1.000649999999999813
51.028275,1.028274999999999823
51.0559,1.055899999999999834
51.083525,1.083524999999999844
51.11115,1.111149999999999856
51.138775,1.138774999999999865
51.1664,1.166399999999999876
51.194025,1.194024999999999887
51.22165,1.221649999999999897
51.249275,1.249274999999999903
51.2769,1.276899999999999918
51.304525,1.304524999999999927
51.33215,1.332149999999999938
51.359775,1.359774999999999951
51.3874,1.387399999999999962
51.415025,1.415024999999999975
51.44265,1.442649999999999981
60.089025,0.089024999999999992
60.11665,0.116650000000000003
60.144275,0.144274999999999985
60.1719,0.171899999999999996
60.199525,0.199525000000000007
60.22715,0.227149999999999962
60.254775,0.254774999999999972
60.2824,0.282399999999999982
60.310025,0.310024999999999994
60.33765,0.337650000000000004
60.365275,0.365275000000000014
60.3929,0.392900000000000025
60.420525,0.420524999999999925
60.44815,0.448149999999999935
60.475775,0.475774999999999945
60.5034,0.503399999999999845
60.531025,0.531024999999999856
60.55865,0.558649999999999867
60.586275,0.586274999999999877
60.6139,0.613899999999999887
60.641525,0.641524999999999898
60.66915,0.669149999999999908
60.696775,0.696774999999999918
60.7244,0.724399999999999929
60.752025,0.752024999999999939
60.77965,0.779649999999999948
60.807275,0.80727499999999996
60.8349,0.834899999999999972
60.862525,0.862524999999999984
60.89015,0.890149999999999991
60.917775,0.917775000000000003
60.9454,0.945400000000000013
60.973025,0.973025000000000025
61.00065,1.000649999999999813
61.028275,1.028274999999999823
61.0559,1.055899999999999834
61.083525,1.083524999999999844
61.11115,1.111149999999999856
61.138775,1.138774999999999865
61.1664,1.166399999999999876
61.194025,1.194024999999999887
61.22165,1.221649999999999897
61.249275,1.249274999999999903
61.2769,1.276899999999999918
61.304525,1.304524999999999927
61.33215,1.332149999999999938
61.359775,1.359774999999999951
61.3874,1.387399999999999962
61.415025,1.415024999999999975
61.44265,1.442649999999999981
70.089025,0.089024999999999992
70.11665,0.116650000000000003
70.144275,0.144274999999999985
70.1719,0.171899999999999996
70.199525,0.199525000000000007
70.22715,0.227149999999999962
70.254775,0.254774999999999972
