,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
79,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[29],retransmissions,26.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
52,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[2],retransmissions,12.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
80,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[30],retransmissions,58.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
81,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[31],retransmissions,58.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
82,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[32],retransmissions,58.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
83,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[33],retransmissions,58.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
84,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[34],retransmissions,58.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
85,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[35],retransmissions,58.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
86,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[36],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
87,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[37],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
88,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[38],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
89,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[39],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
53,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[3],retransmissions,1.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
90,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[40],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
91,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[41],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
92,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[42],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
93,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[43],retransmissions,61.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
94,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[44],retransmissions,61.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
95,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[45],retransmissions,49.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
96,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[46],retransmissions,51.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
97,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[47],retransmissions,39.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
98,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[48],retransmissions,85.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
99,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[49],retransmissions,62.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
54,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[4],retransmissions,13.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
55,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[5],retransmissions,37.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
56,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[6],retransmissions,49.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
57,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[7],retransmissions,50.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
58,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[8],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
59,HeavyTraffic-0-20260310-05:38:12-33244,DNP3NetworkTopology.meter[9],retransmissions,74.0,HeavyTraffic,20260310-05:38:12,20260310-053812,HeavyTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,33244,0,#0,results,0,0,
0,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[0],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
10,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[10],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
11,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[11],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
12,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[12],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
13,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[13],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
14,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[14],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
15,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[15],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
